Marca,Modelo,Precio_usd
Ford,Ecosport,17295.783203685267
Volkswagen,Tiguan,47246.933162344125
Volkswagen,Tiguan Allspace,28300.0
Ford,Ecosport,16949.86753961156
Jeep,Compass,23000.0
BAIC,X55,39700.0
Jeep,Compass,11000.0
Kia,Sorento,18561.328316150044
Hyundai,Tucson,26000.0
Porsche,Cayenne,45000.0
Jeep,Renegade,23000.0
Peugeot,2008,27757.622800060748
Fiat,Pulse,21725.19109731198
Peugeot,2008,27757.622800060748
Chevrolet,Tracker,12571.081450483438
Chevrolet,Tracker,23032.92104685892
Chevrolet,Tracker,28643.50437878609
Ford,Ecosport,19405.025057793227
Citroën,C4 Cactus,12824.190472976394
Jeep,Wrangler,49500.0
Ford,Ecosport,18561.328316150044
Hyundai,Tucson,25300.0
Citroën,C4 Cactus,15102.17167541299
BMW,X1,26900.0
Ford,Ecosport,12571.081450483438
Peugeot,3008,36194.59021649259
Audi,Q5,15500.0
Volkswagen,Taos,32904.17292408417
Honda,CR-V,74900.0
Citroën,C4 Cactus,17295.783203685267
Chevrolet,Tracker,27922.143664681167
Chevrolet,Tracker,22779.727654691796
Nissan,Kicks,21514.266911901188
Nissan,Kicks,27200.0
Audi,Q3,27167.03508091052
Volkswagen,Taos,31301.149114962118
Mercedes-Benz,Clase GLE,159900.0
Honda,HR-V,21936.115282722778
Kia,Sorento,19236.28570946459
Ford,Ecosport,12233.602753826164
Chevrolet,Tracker,23000.0
Renault,Duster,15000.0
Ford,Ecosport,10883.687967197071
Jeep,Compass,33663.49999156303
Suzuki,Vitara,9000.0
Kia,Sorento,9280.664158075022
Nissan,Kicks,22695.442350201643
BMW,X1,27500.0
BMW,X1,19000.0
Toyota,RAV4,14500.0
Volkswagen,T-Cross,24973.42355263824
Jeep,Compass,25310.902249295512
Chevrolet,Tracker,22581.543290079815
Toyota,RAV4,25800.0
Fiat,Pulse,21218.230599193426
Ford,Kuga,28348.210519210974
Ford,Ecosport,13920.996237112533
Hyundai,Creta,25000.0
Toyota,Corolla Cross,44040.96991377419
Jeep,Renegade,19396.588090376794
Toyota,Hilux SW4,17500.0
BMW,X1,38500.0
Nissan,Kicks,23623.508766009145
Fiat,Pulse,20670.570170258
Ford,Ecosport,22357.96365354437
Toyota,Corolla Cross,44715.083610347094
Hyundai,Tucson,24900.0
BMW,X1,29990.0
